saleID,timeOfSale,customerID
1,2022-08-12T15:50:52,1
2,2023-09-19T12:59:32,2
3,2023-09-19T13:25:27,2
4,2023-09-19T13:44:25,2
5,2023-09-19T14:15:45,1
6,2023-09-19T15:09:55,3
7,2023-09-19T19:45:21,3
8,2023-09-19T19:52:14,0
9,2023-09-19T22:07:10,3
10,2023-09-19T22:35:20,3
11,2023-09-19T22:36:57,2
12,2023-09-19T23:08:58,1
13,2023-09-19T23:13:59,4
14,2023-09-19T23:14:28,2
15,2023-09-19T23:15:29,2
16,2023-09-19T23:16:29,2
17,2023-09-19T23:18:06,1
18,2023-09-20T12:26:17,5
19,2023-09-20T12:33:22,5
20,2023-09-20T12:35:33,5
21,2023-09-20T12:37:16,3
22,2023-09-20T12:37:57,0
23,2023-09-20T12:41:03,5
24,2023-09-20T12:44:53,0
25,2023-09-20T12:47:03,5
26,2023-09-20T12:49:32,0
27,2023-09-20T12:56:40,5
28,2023-09-20T12:57:04,5
29,2023-09-20T12:57:47,0
30,2023-09-20T13:00:07,0
31,2023-09-20T19:55:33,0
