transactionID,installmentTimes,balanceLeft,timesLeft,totalAmount
1,13,0.0,0,2800.0
7,0,0.0,0,1146.18
8,0,0.0,0,0.0
9,0,100.0,0,100.0
10,12,500.0,12,500.0
11,0,1830.0,0,1830.0
12,0,250.0,0,250.0
13,0,762.0,0,762.0
14,0,630.0,0,630.0
15,0,405.0,0,405.0
16,0,270.0,0,270.0
17,0,250.0,0,250.0
18,0,194.64,0,194.64
19,0,125.0,0,125.0
20,0,272.9,0,272.9
21,0,0.0,0,125.0
22,0,0.0,0,0.0
23,0,0.0,0,272.9
24,0,0.0,0,0.0
25,0,0.0,0,125.0
26,0,0.0,0,0.0
27,0,0.0,0,0.0
29,0,125.0,0,125.0
30,0,125.0,0,125.0
31,0,0.0,0,118.32
32,0,0.0,0,0.0
